PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0320160425304;;;;;DISPOSAL REFNO:;D20160720028
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;765037;PPM THE POWERPUFF GIRLS;220;35.50;7810;4.52;994.4
2;256057;CARD HMK NV BLUE CROSS AND CIRCLES;48;29.50;1416;4.43;212.64
3;256352;NV MAPLE LEAF;10;26.00;260;3.96;39.6
4;256121;NV BDAY;4;19.75;79;3.4;13.6
5;255080;CARD HMK T LIGHT PINK FLOWER;2;22.50;45;5.12;10.23
;;;284;;9610;;1270.47
