PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160425458;;;;;DISPOSAL REFNO:;D20160720027
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;915629;AAS REFILL 12X12 PAGE PROTECTORS;34;59.50;2023;12.88;437.92
2;985631;SCRPBK ACC STICKERS AAS BROWN RUB O;31;56.50;1751.5;18.87;585
3;698110;SCRPBKALBUM AAS ALBUM IN A POUCH;4;46.75;187;35.26;70.52
4;647011;BYS FRIENDSHIP;4;49.50;198;9;36
5;777398;AAS ACC RBN W/ ACC FLWRS B 3-IN;12;59.00;708;21.5;258
6;958331;SCRPBKACC STICKERS AAS BLU GRN META;2;59.50;119;19.53;39.06
7;958644;SCRPBK ACC STICKERS AAS VIOLET GLIT ALPHA FM 41958644;14;49.50;693;16.03;224.44
8;660040;STATIONERY HMK HYSM WONDER;4;49.50;198;11.25;45
;;;105;;5877.5;;1695.94
