PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160316141;;;;;DISPOSAL REFNO:;D20160322003
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;195;29.75;5801.25;228.57;2345.85
2;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;3;44.75;134.25;36.09;36.09
3;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;8;39.50;316;81.66;108.82
4;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;54;39.50;2133;164.52;740.43
5;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;10;19.75;197.5;62.7;62.7
6;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;3;21.75;65.25;19.23;19.23
7;528083;GIFTWRAP ROLL HMK XRW 3IN LP;2;19.75;39.5;12.32;12.32
8;631043;GIFT WRAP ROLL HMK ERW GREEN AND PINK QUATREFOIL 11631043;2;79.50;159;50.52;50.52
9;631023;GIFT WRAP ROLL HMK ERW BLUE TEXTURED PLAID 11631023;1;79.50;79.5;25.26;25.26
10;884242;GIFTWRAP HMK HWC GLD FLORAL PATTERN;1;26.00;26;8.52;8.52
11;744102;GIFTWRAP IMPTD EWBLUW/SLVR FLITTERS;1;49.50;49.5;18.06;18.06
12;744112;GIFTWRAP IMPTD EW BLKW/GLD FLITTERS;1;49.50;49.5;18.06;18.06
13;260992;GIFTWRAP HMK SM G.VALUE RLWRP ASSTD;2;22.50;45;16.12;16.12
14;528065;GIFT WRAP ROLL HMK XRW 10IN LP 12528065;1;65.50;65.5;23.42;23.42
15;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;1;65.50;65.5;23.93;23.93
;;;285;;9226.25;;3509.33
