PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160319161;;;;;DISPOSAL REFNO:;D20160322002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706043;BIC BU3 GRIP BP 0.7 TURQ BX12 114826;33;19.75;651.75;7.83;258.36
2;706023;BIC BU3 GRIP BP 0.7 PRP BX12 114824;8;19.75;158;7.83;62.63
3;706033;BIC BU3 GRIP BP 0.7 GRN BX12 114825;25;19.75;493.75;7.83;195.72
4;706013;BIC BU3 GRIP BP 0.7 PNK BX12 114823;74;19.75;1461.5;7.83;579.35
5;710013;BIC BU3 GRIP GEL 0.7 BLK BX12 130074;174;24.50;4263;9.83;1709.9
6;710023;BIC BU3 GRIP GEL 0.7 BLU BX12 130073;241;24.50;5904.5;9.83;2368.31
7;710033;BIC BU3 GRIP GEL 0.7 RED BX12 130072;322;24.50;7889;9.83;3164.29
8;710040;BIC SKATER BLACKBICBIC;75;26.00;1950;0.27;20.25
9;710050;BIC SKATER BLUEBICBICBICBIC;59;26.00;1534;14.5;855.5
10;710430;BIC GL2 0.5 RED, XFINE, BX12 112597;737;29.50;21741.5;0.19;139.51
11;710410;BIC GL2 0.5 BLK, XFINE, BX12 112595;261;29.50;7699.5;0.19;49.41
;;;2009;;53746.5;;9403.23
