PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160820727;;;;;DISPOSAL REFNO:;D20160824012
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;884794;GIFT WRAP HMK HWC BROWN DIAMOND 11884794;1;32.50;32.5;8.87;8.87
2;260044;GIFT WRAP HMK EW FLORAL VINES ON BLUE 11260044;3;13.50;40.5;3.1;9.3
3;631033;GIFT WRAP ROLL HMK ERW GREEN FLORAL ON GRAY 11631033;6;79.50;477;50.52;151.52
4;884384;GIFT WRAP HMK HWC GREEN FLORAL HOLO 11884384;4;89.50;358;32.73;130.92
5;884404;GIFT WRAP HMK HWC PINK FLORAL HOLO 11884404;7;89.50;626.5;65.46;229.11
6;884374;GIFT WRAP HMK HWC BLUE FLORAL HOLO 11884374;4;89.50;358;65.46;130.92
7;884394;GIFT WRAP HMK HWC ORANGE FLORAL HOLO 11884394;3;89.50;268.5;32.73;98.19
8;884364;GIFT WRAP HMK HWC PURPLE FLORAL HOLO 11884364;4;89.50;358;32.73;130.92
9;631013;GIFT WRAP ROLL HMK ERW PAISLEY ON FUCHSIA 11631013;1;79.50;79.5;25.26;25.26
10;744102;GIFTWRAP IMPTD EWBLUW/SLVR FLITTERS;1;49.50;49.5;18.06;18.06
11;746300;GIFTWRAP IMPTD NW BLUE FLORAL EMB;3;37.00;111;13.13;39.39
12;746695;NW FLITTERS PEACH;3;18.50;55.5;3.85;11.55
13;744501;GIFTWRAP IMPTD EW PEACH W/ SILVER P;6;49.50;297;32.68;98.04
14;744977;EW 3in EW PRINTED SALE;1;19.75;19.75;0;0
15;744881;GIFTWRAP IMPTD EW Y GOLD CRUMPLED;3;39.50;118.5;13.76;41.28
16;425225;GIFT WRAP HMK XW RED SWEATER STRIPES 12425225;3;13.50;40.5;3.25;9.74
17;746549;GIFTWRAP IMPTD NW GREEN W/BEADS;6;46.50;279;17.28;103.68
18;884891;GIFTWRAP HMK HWC DK BLU WGLD PRNTS;6;49.50;297;17.2;103.2
19;260215;GIFT WRAP HMK EW BABY 11260215;1;13.50;13.5;3.1;3.1
20;425095;GIFT WRAP HMK XW GOLD TEXT ON GREEN 12425095;3;13.50;40.5;3.25;9.74
21;884140;GIFTWRAP IMPTD HWC BLACK FLORL MET;6;24.50;147;9.89;59.34
22;884881;GIFTWRAP HMK HWC MAROON WGLD PRNTS;3;49.50;148.5;17.2;51.6
23;744071;GIFTWRAP IMPTD EW LT.ORANGE;4;19.75;79;6.13;24.52
24;746310;GIFTWRAP IMPTD NW PEACH FLORAL EMB;6;37.00;222;13.13;78.78
25;744212;GIFTWRAP IMPTD EW YLW BG ORNGE FLO;3;44.50;133.5;16;48
26;744031;GIFTWRAP IMPTD EW LAVENDER 2-SIDED;1;19.75;19.75;6.13;6.13
27;744851;GIFT WRAP IMPTD EW GOLD ;3;49.50;148.5;15.48;46.44
28;746665;NW FLITTERS LT. GREEN;3;18.50;55.5;3.85;11.55
29;744027;EW BIGCHECK VIOLETEMW;3;10.00;30;7.2;21.6
30;744840;GIFTWRAP IMPTD EW PINK FERN;1;32.50;32.5;12;12
31;744191;GIFTWRAP IMPTD EW BLUE EMB LVS;1;24.50;24.5;7.44;7.44
32;744911;GIFT WRAP IMPTD EW BLACK W/BEIGE;3;49.50;148.5;18.06;54.18
33;584031;GIFT WRAP HMK AMEW FACES AND FLOWER;1;12.50;12.5;3.5;3.5
;;;107;;5122;;1777.87
