PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715577;;;;;DISPOSAL REFNO:;D20160720019
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;14;29.75;416.5;12.03;168.42
2;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;11;39.50;434.5;13.61;149.66
3;528124;GIFT WRAP ROLL HMK SM 3IN HP WITH TAGS 12528124;11;50.00;550;11.58;127.38
4;528144;GIFT WRAP ROLL HMK OFFICE WHSE 6IN HP WITH TAGS 12528144;1;100.00;100;39.13;39.13
5;528154;GIFT WRAP ROLL HMK DAISO 10IN LP WITH TAGS 12528154;4;88.00;352;41.33;165.32
6;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;6;21.75;130.5;7.68;46.01
7;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;5;39.50;197.5;9.19;45.95
8;425124;GIFT WRAP HMK XW FORMAL LETTERING 12425124;9;13.50;121.5;4.1;36.9
9;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;5;80.00;400;18.34;91.7
10;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;4;39.50;158;13.71;54.85
;;;70;;2860.5;;925.32
