PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160314134;;;;;DISPOSAL REFNO:;D20160322009
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706040;BIC NS MED EZG 1.0 BLK BX12 788498;1561;4.75;7414.75;0.7;1088.02
2;719388;BIC WB MKR  BLK CHISEL 1751,Bx12 94742;332;42.50;14110;0.26;85.89
3;706610;BIC BU3 0.8 BLU BX12 112602;1176;10.50;12348;0.07;77.15
4;706383;BIC ROUND STIC GRIP BLU BX12 112589;1238;14.75;18260.5;0.41;509.56
;;;4307;;52133.25;;1760.62
