PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715573;;;;;DISPOSAL REFNO:;D20160720015
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;425134;GIFT WRAP HMK XW FORMAL LETTERING 12425134;6;13.50;81;3.9;23.4
2;425214;GIFT WRAP HMK XW JUVENILE 12425214;2;13.50;27;3.9;7.8
3;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;1;80.00;80;18.34;18.34
4;528042;GIFTWRAP ROLL HMK XRW 3-IN HP;12;37.00;444;16.8;100.8
5;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;111;29.75;3302.25;24.06;1335.33
6;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;43;65.50;2816.5;23.07;992.01
7;528065;GIFT WRAP ROLL HMK XRW 10IN LP 12528065;8;65.50;524;23.42;187.38
8;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;18;21.75;391.5;7.68;138.29
;;;201;;7666.25;;2803.35
