PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160310121;;;;;DISPOSAL REFNO:;D20160316007
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;861016;CARD IMPTD XMC HAPPY HOLIDAYS 42861016;25;37.00;925;13.21;330.25
2;861046;CARD IMPTD XMC SANTA 42861046;35;37.00;1295;26.42;462.35
3;861076;CARD IMPTD XMC REINDEER 42861076;29;37.00;1073;26.42;383.09
4;861106;CARD IMPTD XMC SNOWFLAKES 42861106;15;37.00;555;13.21;198.15
5;861086;CARD IMPTD XMC CMAS ORNAMENTS 42861086;15;37.00;555;13.21;198.15
6;766733;CARD HMK HCC CAKE AND HEART 11766733;18;56.50;1017;19.88;357.84
7;766753;CARD HMK HCC WEDDING BELLS 11766753;54;56.50;3051;59.64;1073.52
8;766743;CARD HMK HCC SPIRAL 11766743;36;56.50;2034;39.76;715.68
;;;227;;10505;;3719.03
