PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160729647;;;;;DISPOSAL REFNO:;D20160809013
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;981055;GIFT BOX HMK KBX TIN ROUND SNOWFLAKES AND DOTS LRG 12981055;316;189.00;59724;57.1;18043.6
2;981045;GIFT BOX HMK KBX TIN ROUND SNOWFLAKES AND DOTS MED 12981045;33;159.50;5263.5;47.6;1570.8
3;981035;GIFT BOX HMK KBX TIN ROUND SNOWFLAKES AND DOTS SML 12981035;10;125.00;1250;38.1;381
;;;359;;66237.5;;19995.4
