PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0420160917007;;;;;DISPOSAL REFNO:;D20160921002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706030;BIC NS FINE EZG 0.7 RED BX50 766087;767;4.75;3643.25;1.4;534.59
2;706060;BIC NS MED EZG 1.0 RED BX12 788500;641;4.75;3044.75;2.1;446.78
3;706610;BIC BU3 0.8 BLU BX12 112602;1248;10.50;13104;0.07;81.87
4;706024;BIC BU3 REF 0.7 BLU BX12 41706024 144865;16;13.75;220;5.7;91.2
5;710013;BIC BU3 GRIP GEL 0.7 BLK BX12 130074;3;24.50;73.5;9.83;29.48
6;706600;BIC BU3 0.8 BLK BX12 112601;1;10.50;10.5;0.07;0.07
7;706014;BIC BU3 REF 0.7 BLK BX12 41706014 144864;1;13.75;13.75;5.7;5.7
8;706701;BIC SUPER EZ1 BLK BX12 112604;6;19.75;118.5;0.15;0.88
9;710420;BIC GL2 0.5 BLU, XFINE, BX12 112596;410;29.50;12095;0.19;77.61
10;706711;BIC SUPER EZ1 BLU BX12 112605;982;19.75;19394.5;0.3;143.37
11;710390;BIC GL1 0.5 BLU,XFINE,BX12 112593;4;17.75;71;0.13;0.5
12;706040;BIC NS MED EZG 1.0 BLK BX12 788498;220;4.75;1045;0.7;153.34
13;706050;BIC NS MED EZG 1.0 BLU BX12 788499;140;4.75;665;0.7;97.58
14;706020;BIC NS FINE EZG 0.7 BLU BX50 766086;3929;4.75;18662.75;2.8;2738.51
15;706010;BIC NS FINE EZG 0.7 BLK BX50 766085;3;4.75;14.25;0.65;1.94
;;;8371;;72175.75;;4403.42
