PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160307106;;;;;DISPOSAL REFNO:;D20160309005
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706020;BIC NS FINE EZG 0.7 BLU BX50 766086;6313;4.75;29986.75;0.7;4400.16
2;706580;BIC RS2 0.8 BLU TRANSLU BLU TUB50 112599;11607;3.50;40624.5;0.1;580.35
3;710420;BIC GL2 0.5 BLU, XFINE, BX12 112596;1956;29.50;57702;0.19;370.27
4;706570;BIC RS2 0.8 BLK TRANSLU BLK TUB50 112598;5244;3.50;18354;0.05;262.2
;;;25120;;146667.25;;5612.98
