PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV02201612091469;;;;;DISPOSAL REFNO:;D20161212002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;871143;RIBBON HMK BS EMERALD LACE RIBBON 11871143;15;26.00;390;18.56;139.14
2;871173;RIBBON HMK BS PINK REC BORDER 11871173;3;26.00;78;9.28;27.83
3;871233;RIBBON HMK BS LAVANDER FLORAL 11871233;12;26.00;312;18.56;111.31
4;871110;RIBBON HMK LRG GLS MINT GREEN;7;19.75;138.25;14;49
5;871213;RIBBON HMK BS RBLUE FLORAL 11871213;6;26.00;156;27.84;55.66
6;871130;RIBBON HMK LRG GLS OLD ROSE;6;19.75;118.5;7;42
7;871140;RIBBON HMK LRG GLS PEACH;18;19.75;355.5;28;126
8;871242;RIBBON HMK LRG GLS ROYAL BLUE;8;19.75;158;13.12;52.48
9;871170;RIBBON HMK LRG GLS PINK;7;19.75;138.25;7.46;52.22
10;871193;RIBBON HMK BS APPLE GREEN REC BORDER 11871193;9;26.00;234;9.28;83.48
11;871243;RIBBON HMK BS YELLOW FLORAL 11871243;6;26.00;156;9.28;55.66
12;871938;RIBBON HMK LRG GLS GRASS GRN;15;19.75;296.25;29.84;111.9
13;871644;RIBBON HMK MED GLS EMERALD GREEN;27;17.75;479.25;19.38;174.42
14;871223;RIBBON HMK BS BOTTLE GREEN FLORAL 11871223;20;26.00;520;9.28;185.52
15;871183;RIBBON HMK BS LIGHT BLUE REC BORDER 11871183;1;26.00;26;9.28;9.28
16;871878;RIBBON HMK LRG GLS FUCHSIA;13;19.75;256.75;22.38;96.98
17;871203;RIBBON HMK BS WHITE REC BORDER 11871203;45;26.00;1170;9.28;417.42
18;871102;RIBBON HMK BS LILAC METALLIC;3;39.50;118.5;41.92;62.87
19;871181;RIBBON HMK GOLD METTALIC BS;38;22.50;855;30.78;584.82
20;871161;RIBBON HMK RED METTALIC BS;5;22.50;112.5;30.78;76.95
21;871171;RIBBON HMK GREEN METTALIC BS;6;22.50;135;30.78;92.34
22;871012;RIBBON HMK BS RAFFIA YEL GRN BOW;19;39.50;750.5;19.17;364.15
23;871022;RIBBON HMK BS RAFFIA ORANGE BOW;25;39.50;987.5;19.17;479.15
24;871141;RIBBON HMK GREEN ;61;27.00;1647;58.05;1180.35
25;871151;RIBBON HMK MAROON ;5;27.00;135;38.7;96.75
26;871072;RIBBON HMK BS PNKVIOLET VELVET;9;44.50;400.5;25.91;233.15
27;871378;RIBBON HMK SML GLS RED;4;15.00;60;5.36;21.44
28;871030;RIBBON HMK SML GLS OLD ROSE;3;15.00;45;4.9;14.7
29;871020;RIBBON HMK SML GLS BOTTLE GREEN;12;14.50;174;4.2;50.4
30;871388;RIBBON HMK SML GLS EMERALD;15;15.00;225;10.72;80.4
31;871338;RIBBON HMK SML GLS YELLOW;15;15.00;225;10.72;80.4
32;871060;RIBBON HMK MED GLS MINT GREEN;2;16.75;33.5;5.2;10.4
33;871120;RIBBON HMK LRG GLS BOTTLE GREEN;9;19.75;177.75;6.1;54.9
34;871648;RIBBON HMK MED GLS GRASS GREEN;16;17.75;284;19.38;103.36
35;871150;RIBBON HMK MED GLS PINK;2;17.75;35.5;12;12
36;871318;RIBBON HMK SML GLS WHITE;1;15.00;15;5.36;5.36
37;871328;RIBBON HMK SML GLS LT BLUE;1;15.00;15;5.36;5.36
38;871628;RIBBON HMK MED GLS YELLOW;8;17.75;142;12.92;51.68
39;871358;RIBBON HMK SML GLS GRASS GRN;19;14.50;275.5;9.32;88.54
40;871070;RIBBON HMK MED GLS BOTTLE GREEN;37;16.75;619.75;5.2;192.4
41;871080;RIBBON HMK MED GLS OLD ROSE;4;16.75;67;5.2;20.8
42;871638;RIBBON HMK MED GLS FLORAL PINK;1;17.75;17.75;6.46;6.46
43;871352;RIBBON HMK MED GLS ROYAL BLUE;8;17.75;142;6.46;51.68
44;871948;RIBBON HMK LRG GLS RON BLUE;3;19.75;59.25;7.46;22.38
;;;549;;12737.25;;5833.49
