PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160716583;;;;;DISPOSAL REFNO:;D20160720006
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528024;GIFT WRAP ROLL HMK 10IN HP 12528024;19;132.50;2517.5;30.54;580.26
2;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;24;80.00;1920;36.68;440.16
3;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;33;21.75;717.75;15.36;253.45
4;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;2;44.75;89.5;12.03;24.06
5;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;25;29.75;743.75;12.03;300.75
6;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;24;39.50;948;9.19;220.56
;;;127;;6936.5;;1819.24
