PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715579;;;;;DISPOSAL REFNO:;D20160720021
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;45;29.75;1338.75;12.03;541.35
2;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;3;39.50;118.5;13.61;40.82
3;528124;GIFT WRAP ROLL HMK SM 3IN HP WITH TAGS 12528124;2;50.00;100;11.58;23.16
4;528144;GIFT WRAP ROLL HMK OFFICE WHSE 6IN HP WITH TAGS 12528144;2;100.00;200;39.13;78.26
5;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;2;65.50;131;23.07;46.14
6;528074;GIFT WRAP ROLL HMK 6IN LP 12528074;4;42.50;170;14.31;57.22
7;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;4;21.75;87;7.68;30.73
8;631034;GIFT WRAP ROLL HMK ERW FORMAL 11631034;3;79.50;238.5;27.05;81.15
;;;65;;2383.75;;898.83
