PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715576;;;;;DISPOSAL REFNO:;D20160720018
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;187;29.75;5563.25;12.03;2249.61
2;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;20;39.50;790;13.71;274.24
3;528144;GIFT WRAP ROLL HMK OFFICE WHSE 6IN HP WITH TAGS 12528144;4;100.00;400;39.13;156.52
;;;211;;6753.25;;2680.37
