PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715580;;;;;DISPOSAL REFNO:;D20160720022
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;96;29.75;2856;24.06;1154.88
2;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;9;39.50;355.5;9.19;82.71
3;528024;GIFT WRAP ROLL HMK 10IN HP 12528024;4;132.50;530;30.54;122.16
4;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;3;80.00;240;18.34;55.02
5;528074;GIFT WRAP ROLL HMK 6IN LP 12528074;13;42.50;552.5;14.31;185.96
6;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;32;19.75;632;6.27;200.51
7;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;8;44.75;358;12.03;96.24
;;;165;;5524;;1897.48
