PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160316143;;;;;DISPOSAL REFNO:;D20160322005
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;2;19.75;39.5;12.54;12.54
2;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;4;39.50;158;54.84;54.84
3;528083;GIFTWRAP ROLL HMK XRW 3IN LP;1;19.75;19.75;6.16;6.16
4;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;145;29.75;4313.75;96.24;1744.35
5;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;34;39.50;1343;27.22;462.57
;;;186;;5874;;2280.46
