PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160321267;;;;;DISPOSAL REFNO:;D20160328003
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;4;39.50;158;13.71;54.85
2;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;110;29.75;3272.5;24.06;1323.3
3;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;15;44.75;671.25;12.03;180.45
;;;129;;4101.75;;1558.6
