PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160321269;;;;;DISPOSAL REFNO:;D20160328002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;150;29.75;4462.5;24.06;1804.5
2;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;9;39.50;355.5;27.22;122.45
3;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;1;19.75;19.75;6.27;6.27
4;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;1;39.50;39.5;13.71;13.71
5;528074;GIFT WRAP ROLL HMK 6IN LP 12528074;1;42.50;42.5;14.01;14.01
;;;162;;4919.75;;1960.94
