PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160726646;;;;;DISPOSAL REFNO:;D20160809015
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;85;29.75;2528.75;12.03;1022.55
2;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;36;39.50;1422;13.71;493.63
3;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;28;44.75;1253;12.03;336.84
;;;149;;5203.75;;1853.02
