PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715582;;;;;DISPOSAL REFNO:;D20160720024
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;60;29.75;1785;12.03;721.8
2;528134;GIFT WRAP ROLL HMK SM 6IN HP WITH TAGS 12528134;5;100.00;500;21.66;108.3
3;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;13;39.50;513.5;13.61;176.86
;;;78;;2798.5;;1006.96
