PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160329306;;;;;DISPOSAL REFNO:;D20160402003
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706040;BIC NS MED EZG 1.0 BLK BX12 788498;213;4.75;1011.75;0.7;148.46
2;706323;BIC ORNG 0.7 RBICBICBIC;69;8.50;586.5;0.16;11.04
3;706303;BIC ORNG 0.7 KBICBICBICBIC;72;8.50;612;0.16;11.52
4;706313;BIC ORNG 0.7 BBICBICBICBIC;259;8.50;2201.5;0.16;41.44
5;706383;BIC ROUND STIC GRIP BLU BX12 112589;170;14.75;2507.5;0.41;69.97
6;710471;BIC GL2 GEL FINE 0.7 TURQ BX12 789889;233;29.50;6873.5;0.2;45.67
7;710441;BIC GL2 GEL FINE 0.7 PRP BX12 789889;23;29.50;678.5;0.2;4.51
8;710461;BIC GL2 GEL FINE 0.7 PNK BX12 789889;42;29.50;1239;0.2;8.23
9;710345;BIC VELGEL BLK 0.7 REF Bx12 33527;257;50.00;12850;17.11;4397.27
10;480083;BENSIA HMK BALLPEN;821;29.50;24219.5;52.2;10714.05
11;710355;BIC VELGEL BLU 0.7 REF BX12 33528;736;50.00;36800;17.11;12592.96
12;710080;BIC FLIRT BLUEBICBICBIC;866;22.75;19701.5;31.44;6806.76
13;710070;BIC FLIRT BLACKBICBIC;341;22.75;7757.75;31.44;2680.26
14;710430;BIC GL2 0.5 RED, XFINE, BX12 112597;628;29.50;18526;0.19;118.88
;;;4730;;135565;;37651.02
