PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160312130;;;;;DISPOSAL REFNO:;D20160316001
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706711;BIC SUPER EZ1 BLU BX12 112605;3459;19.75;68315.25;0.15;505.01
2;710410;BIC GL2 0.5 BLK, XFINE, BX12 112595;2170;29.50;64015;0.19;410.78
3;706050;BIC NS MED EZG 1.0 BLU BX12 788499;1868;4.75;8873;0.7;1301.1
4;706010;BIC NS FINE EZG 0.7 BLK BX50 766085;784;4.75;3724;0.65;507.25
5;706570;BIC RS2 0.8 BLK TRANSLU BLK TUB50 112598;1990;3.50;6965;0.05;99.5
;;;10271;;151892.25;;2823.64
PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160312130;;;;;DISPOSAL REFNO:;D20160316002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706711;BIC SUPER EZ1 BLU BX12 112605;3459;19.75;68315.25;0.15;505.01
2;710410;BIC GL2 0.5 BLK, XFINE, BX12 112595;2170;29.50;64015;0.19;410.78
3;706050;BIC NS MED EZG 1.0 BLU BX12 788499;1868;4.75;8873;0.7;1301.1
4;706010;BIC NS FINE EZG 0.7 BLK BX50 766085;784;4.75;3724;0.65;507.25
5;706570;BIC RS2 0.8 BLK TRANSLU BLK TUB50 112598;1990;3.50;6965;0.05;99.5
;;;10271;;151892.25;;2823.64
