PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160715581;;;;;DISPOSAL REFNO:;D20160720023
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;34;39.50;1343;9.19;312.46
2;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;10;29.75;297.5;12.03;120.3
3;528024;GIFT WRAP ROLL HMK 10IN HP 12528024;12;132.50;1590;30.54;366.48
4;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;29;80.00;2320;18.34;531.86
;;;85;;5550.5;;1331.1
